Transaction ID,Timestamp,Sender UPI ID,Receiver UPI ID,Amount (INR),Status,Transaction Speed (min),User Transaction Frequency,Account Age (days),Fraud Label
b5749457-ca68-4346-a033-1fbebe4b3bdc,19-10-2023 17:12,4696217142@okaxis,5089047536@oksbi,22033.01,SUCCESS,1.4002000001033752,9,2849,1
f34e1912-7608-4caa-9b74-0ba482a740dc,02-05-2023 23:04,8006150754@okicici,6171444010@oksbi,33364.78,SUCCESS,20.28428696294104,29,68,0
274b7789-d565-4101-97fb-9a25388f8362,18-05-2023 03:17,2965512251@okhdfcbank,2185048499@okaxis,29383.77,SUCCESS,5.252411396547756,8,1860,0
3a2bbd55-0797-4555-9b85-92b3bb3093c0,20-09-2023 09:35,4628476194@oksbi,7696068832@okybl,29165.32,SUCCESS,9.902796847759914,91,665,0
d4586ddc-478b-4ef0-9c1a-410a13935b19,13-06-2023 11:12,9401099675@okaxis,2899739841@oksbi,6666.34,SUCCESS,1.4130718509006508,84,622,0
094e5393-99db-4545-9386-13b1cabb0409,28-04-2023 21:09,0495028936@okybl,8952003220@okicici,25605.95,SUCCESS,2.888018303884804,76,1550,1
dd20fb6d-5e3a-4017-9ee1-6d7db8b4e458,04-09-2023 10:50,7934945050@okhdfcbank,4358999143@okicici,48159.68,SUCCESS,24.450100568081123,16,1941,0
db787660-f981-479c-9a40-9f12eec37d51,02-02-2023 04:45,8489658592@oksbi,0543457610@okaxis,33142.16,SUCCESS,26.338601966557963,43,14,1
f911892b-2844-49a6-bcf7-cc558e628566,01-02-2023 23:46,9297379468@okicici,6712425665@okybl,25713.34,SUCCESS,13.040169005821696,59,549,1
881480d1-503a-4948-828b-ec935ecd627c,10-11-2023 01:02,7521488982@okaxis,9495072244@okicici,34532.23,SUCCESS,16.60188348403757,9,1456,0
9cd310c7-0e5a-40c4-927d-922c661e8d8f,02-03-2023 03:38,2287460203@okicici,6801033749@okaxis,1280.46,SUCCESS,12.656365818572436,86,1193,0
c2355718-7c17-456b-a8cd-5775dc7435bd,25-01-2023 15:33,1024707953@okaxis,7164137631@okybl,45888.63,SUCCESS,1.3534101064515525,39,1802,1
40fb9ea9-bc4c-4bbf-bc46-68eaf03e12f9,21-08-2023 00:13,8832843407@okaxis,5159041982@okicici,2831.53,SUCCESS,16.149851178098757,9,1385,1
ec7ef98c-ddc8-4dce-aba8-2f5ddef6eea5,09-04-2023 18:31,4671392182@okybl,5030835660@okaxis,16172.21,SUCCESS,12.395826233254436,30,1880,1
14269e38-a187-4ced-9734-2d55a44515c4,18-03-2023 00:04,9476094775@okhdfcbank,1618911053@okicici,32845.32,SUCCESS,21.055950642899003,82,2477,0
7c189686-4028-4b97-bd71-7516d4fcaf81,05-03-2023 17:14,9698181003@okybl,9342292431@okybl,37416.18,SUCCESS,5.508157561132358,82,1883,1
b4abbcea-5417-41a0-8c31-569d280614bc,09-01-2023 00:42,1796945527@okicici,0966121967@okaxis,10662.43,SUCCESS,23.97904793752956,12,2292,0
70c24531-3ed0-4da4-b6fd-1cb53470fca1,25-08-2023 20:59,0033515765@okybl,9276585447@okybl,19686.08,SUCCESS,16.923605994540342,90,1554,1
